id,months_observed
110101,105
110106,71
110107,45
110108,114
110109,98
110111,79
110113,68
110114,107
110115,81
110116,90
110117,38
110118,95
110119,95
120103,31
120110,14
120111,74
120112,39
120113,26
120114,31
120115,16
120116,94
120117,25
120118,28
120119,33
130108,6
130109,22
130110,8
130111,1
130121,4
130123,10
130131,41
130132,2
130202,18
130203,12
130205,21
130207,7
130208,9
130209,35
130224,34
130225,36
130227,2
130229,2
130281,2
130283,1
130284,2
130302,32
130303,41
130306,15
130321,7
130322,18
130324,1
130402,3
130403,10
130404,2
130406,2
130408,2
130423,1
130426,2
130427,6
130433,1
130435,5
130481,6
130502,17
130503,23
130505,1
130523,5
130525,1
130534,1
130582,11
130602,6
130606,9
130607,3
130609,1
130623,9
130624,5
130626,1
130627,2
130628,1
130629,2
130630,4
130632,19
130633,11
130634,2
130635,2
130638,3
130681,4
130682,6
130684,1
130702,7
130705,8
130706,2
130709,20
130722,15
130723,9
130724,13
130725,2
130726,8
130727,4
130728,4
130730,44
130731,15
130732,5
130802,4
130803,1
130822,16
130824,8
130825,2
130826,10
130828,20
130881,1
130903,11
130921,5
130924,13
130927,2
130928,2
130929,1
130981,2
130982,15
130983,23
131002,10
131003,7
131022,9
131024,5
131025,1
131026,2
131028,15
131082,44
131102,18
131123,3
131126,5
131127,3
131182,2
140105,11
140106,32
140107,31
140108,48
140109,28
140110,40
140121,46
140122,5
140123,5
140181,9
140212,7
140213,22
140214,19
140215,11
140221,4
140222,2
140223,9
140224,4
140225,14
140226,3
140321,6
140322,4
140403,9
140404,3
140405,1
140406,1
140423,3
140425,2
140427,11
140428,3
140429,2
140430,1
140431,38
140521,6
140522,3
140524,7
140525,15
140581,1
140602,1
140621,2
140622,5
140623,1
140702,18
140703,11
140721,2
140723,12
140724,2
140725,5
140727,3
140728,10
140729,3
140781,5
140802,29
140822,3
140825,3
140826,2
140827,4
140828,4
140829,14
140830,6
140881,8
140882,11
140902,8
140921,12
140922,19
140923,4
140924,6
140925,13
140926,8
140928,4
140930,3
140931,6
140932,1
140981,1
141002,10
141021,3
141022,19
141023,2
141024,25
141025,1
141026,1
141028,4
141029,6
141030,1
141031,2
141033,1
141082,13
141102,1
141121,2
141122,21
141123,1
141124,3
141125,5
141127,1
141128,2
141129,2
141181,2
150103,11
150104,20
150105,18
150121,9
150122,1
150123,1
150124,1
150202,11
150203,1
150207,12
150221,2
150222,3
150223,3
150302,28
150303,4
150304,4
150402,4
150404,3
150421,30
150422,1
150423,4
150425,28
150426,3
150428,3
150429,3
150430,1
150502,4
150521,1
150522,3
150523,2
150524,2
150525,3
150602,10
150603,5
150621,4
150622,2
150623,38
150624,9
150625,3
150626,5
150627,6
150702,31
150703,8
150722,1
150723,7
150724,30
150725,26
150726,13
150727,14
150781,12
150782,47
150783,5
150784,22
150785,70
150802,4
150822,5
150823,16
150824,2
150825,3
150826,2
150902,3
150921,3
150924,2
150925,4
150926,7
150927,7
150928,8
150929,4
150981,1
152201,3
152202,8
152221,3
152222,1
152223,3
152501,3
152502,16
152522,23
152523,7
152524,3
152525,8
152526,6
152527,3
152529,2
152530,10
152531,12
152921,55
152922,10
152923,23
210104,17
210105,35
210111,11
210112,49
210113,24
210114,21
210115,45
210123,6
210124,11
210181,14
210202,64
210203,28
210211,56
210212,72
210213,37
210214,7
210281,22
210283,30
210304,5
210311,2
210321,1
210323,2
210381,3
210402,4
210403,7
210404,2
210411,4
210421,19
210422,5
210423,3
210503,5
210504,2
210521,10
210522,3
210602,10
210603,25
210604,7
210624,7
210681,37
210682,14
210711,18
210726,4
210727,7
210781,33
210782,8
210802,2
210804,4
210811,2
210881,7
210882,1
210904,1
210911,5
210921,8
210922,2
211003,3
211004,6
211005,6
211021,1
211081,4
211102,25
211103,14
211104,24
211122,4
211202,2
211204,1
211221,2
211224,1
211302,17
211303,2
211322,1
211324,4
211381,7
211382,1
211402,1
211403,7
211421,11
211481,7
220102,55
220103,28
220105,19
220106,28
220112,4
220113,8
220122,6
220182,14
220183,4
220184,1
220202,17
220203,19
220204,9
220211,22
220221,15
220281,3
220282,6
220283,4
220284,1
220323,8
220382,6
220421,1
220422,3
220502,4
220524,3
220582,4
220602,4
220621,24
220622,3
220623,5
220681,4
220702,2
220721,25
220723,6
220781,2
220802,1
220821,9
220822,16
220882,10
222401,12
222402,4
222403,7
222404,25
222405,1
222406,6
222424,4
222426,15
230102,44
230103,27
230104,28
230108,2
230109,41
230110,42
230111,8
230112,10
230123,1
230124,1
230125,1
230128,3
230183,11
230184,2
230202,10
230203,8
230204,28
230205,3
230208,11
230221,3
230225,5
230227,3
230231,1
230281,1
230302,2
230321,1
230381,4
230382,2
230406,2
230421,1
230521,3
230523,5
230524,3
230602,3
230603,11
230604,3
230623,5
230624,3
230717,3
230718,2
230719,1
230722,2
230723,3
230724,7
230725,12
230726,1
230781,2
230828,1
230881,6
230882,4
230883,8
230921,2
231002,2
231003,2
231004,3
231025,2
231081,2
231083,4
231084,4
231086,4
231102,4
231181,1
231182,1
231183,3
231202,1
231281,6
231282,3
232701,12
232721,2
232722,3
310105,67
310110,98
310112,80
310114,44
310115,112
310116,65
310117,82
310118,62
310120,82
310151,86
320104,40
320105,54
320111,106
320113,75
320114,32
320115,83
320116,78
320117,56
320118,21
320205,30
320206,28
320211,97
320213,29
320214,38
320281,51
320282,59
320303,28
320305,17
320311,32
320312,32
320321,9
320322,9
320324,13
320381,6
320382,1
320402,40
320404,26
320411,30
320412,59
320413,35
320481,40
320505,52
320506,80
320507,48
320508,41
320509,65
320581,63
320582,66
320583,54
320585,26
320613,26
320614,9
320623,71
320681,25
320682,7
320685,9
320703,56
320707,30
320722,9
320723,2
320724,1
320803,18
320804,18
320812,26
320813,19
320826,10
320830,29
320831,19
320902,37
320903,18
320904,32
320921,5
320922,3
320923,6
320924,32
320925,6
320981,78
321002,15
321003,36
321012,13
321023,5
321081,9
321084,6
321102,13
321111,32
321112,9
321181,26
321182,5
321183,78
321202,7
321203,6
321204,11
321281,9
321282,8
321283,4
321302,12
321311,6
321322,2
321323,5
321324,13
330102,63
330105,50
330108,33
330109,53
330110,87
330111,34
330112,80
330113,24
330114,26
330122,30
330127,48
330182,17
330203,37
330206,18
330211,38
330212,44
330213,18
330225,44
330226,17
330281,42
330282,66
330302,27
330303,35
330304,41
330324,20
330326,25
330327,20
330328,16
330329,19
330381,45
330382,22
330383,19
330402,23
330411,17
330421,24
330424,37
330481,25
330482,46
330483,14
330502,39
330503,20
330521,43
330522,28
330523,37
330602,33
330603,32
330604,41
330624,39
330681,20
330683,13
330702,43
330703,28
330723,15
330726,7
330727,13
330781,25
330782,15
330783,18
330784,12
330802,26
330803,27
330822,5
330824,34
330825,12
330881,23
330902,44
330921,12
331002,63
331003,89
331004,15
331022,8
331023,21
331024,23
331081,48
331082,43
331083,30
331102,32
331121,28
331122,19
331123,27
331124,40
331125,13
331126,12
331127,23
331181,23
340102,10
340103,46
340104,83
340111,63
340121,8
340122,49
340123,41
340124,36
340181,45
340207,15
340209,21
340210,5
340212,3
340223,5
340281,19
340302,2
340304,8
340311,11
340321,12
340322,1
340323,4
340402,12
340403,4
340405,2
340406,3
340421,7
340422,6
340503,26
340504,24
340506,14
340521,12
340522,5
340523,4
340603,6
340604,6
340705,5
340722,11
340802,11
340803,4
340811,15
340822,4
340825,7
340826,5
340827,6
340828,26
340881,10
340882,17
341002,34
341003,50
341004,45
341021,27
341022,19
341023,31
341024,17
341102,15
341103,14
341122,6
341124,4
341125,6
341126,2
341181,3
341182,6
341202,8
341203,1
341204,3
341221,2
341222,3
341225,2
341226,8
341282,14
341302,4
341321,6
341322,8
341323,3
341324,3
341502,15
341503,16
341504,1
341522,12
341523,28
341524,26
341525,28
341602,4
341621,4
341622,9
341623,7
341702,20
341721,22
341722,15
341723,12
341802,39
341821,3
341823,11
341824,21
341881,38
341882,13
350104,74
350105,16
350111,99
350112,86
350121,87
350122,77
350123,37
350124,14
350125,40
350128,31
350181,48
350203,100
350205,69
350211,66
350212,81
350213,95
350302,12
350303,16
350304,26
350305,12
350322,12
350404,19
350405,38
350421,50
350423,7
350424,12
350425,4
350426,21
350428,50
350429,57
350430,9
350481,34
350502,15
350503,41
350504,2
350505,19
350521,31
350524,27
350525,19
350526,12
350581,45
350582,51
350583,65
350602,40
350603,33
350604,66
350605,35
350622,13
350623,24
350624,9
350626,23
350627,33
350628,4
350629,6
350702,39
350703,6
350721,6
350722,3
350723,3
350724,2
350725,1
350781,9
350782,48
350783,15
350802,16
350821,21
350823,18
350824,17
350825,6
350881,7
350902,50
350921,62
350922,11
350923,10
350924,10
350925,10
350926,5
350981,38
350982,38
360102,24
360104,20
360111,88
360112,83
360113,36
360121,70
360123,13
360124,14
360202,43
360203,19
360222,50
360281,3
360302,13
360313,4
360321,6
360322,11
360323,13
360402,37
360404,26
360423,11
360424,10
360425,57
360426,1
360428,32
360429,5
360430,13
360481,7
360482,7
360483,34
360502,10
360521,5
360602,3
360603,7
360681,13
360702,41
360703,15
360704,8
360722,15
360723,6
360724,9
360725,10
360726,2
360728,3
360729,10
360730,6
360731,11
360732,3
360733,15
360734,5
360735,41
360781,6
360783,55
360802,14
360803,3
360821,1
360822,8
360824,3
360825,6
360826,13
360827,12
360829,9
360830,10
360881,18
360902,26
360921,3
360923,1
360924,12
360925,11
360926,5
360981,11
360982,10
360983,4
361002,8
361003,3
361021,6
361022,2
361023,3
361024,3
361025,7
361026,1
361027,11
361028,8
361030,2
361102,12
361103,6
361104,15
361123,26
361124,42
361126,9
361127,26
361128,29
361129,14
361130,78
361181,7
370102,41
370104,22
370105,34
370112,35
370113,20
370114,16
370115,3
370116,8
370117,1
370124,3
370126,2
370203,36
370211,74
370212,52
370213,17
370214,47
370215,28
370281,32
370283,16
370285,25
370302,13
370303,14
370304,9
370305,9
370306,3
370321,4
370322,2
370323,2
370403,6
370405,5
370406,6
370481,2
370502,44
370503,20
370505,45
370522,5
370523,6
370602,7
370611,8
370612,12
370613,16
370614,21
370681,6
370682,5
370683,2
370685,2
370687,10
370702,43
370703,40
370704,33
370705,44
370724,20
370725,6
370781,29
370782,13
370783,14
370784,11
370785,13
370786,24
370811,35
370812,17
370826,25
370828,1
370829,2
370830,5
370832,2
370881,59
370883,19
370902,38
370911,43
370921,5
370923,10
370982,7
370983,2
371002,33
371003,38
371082,25
371083,7
371102,52
371103,15
371121,20
371122,24
371302,27
371311,4
371321,8
371322,10
371324,5
371325,3
371326,3
371327,1
371328,10
371329,2
371402,8
371403,4
371422,1
371424,1
371425,5
371426,7
371427,2
371428,1
371481,5
371482,1
371502,22
371503,1
371521,16
371522,1
371524,1
371525,1
371526,3
371581,9
371602,13
371603,6
371621,5
371622,6
371623,28
371625,2
371681,2
371702,6
371703,2
371721,5
371722,5
371723,14
371724,5
371725,4
371726,2
371728,8
410102,94
410103,65
410104,35
410105,84
410106,6
410108,54
410122,68
410181,27
410182,43
410183,25
410184,36
410185,33
410202,22
410203,10
410212,25
410223,1
410225,5
410302,6
410304,2
410305,29
410307,12
410308,55
410311,49
410323,3
410324,30
410325,41
410326,3
410327,27
410328,9
410329,10
410411,1
410421,5
410422,5
410423,21
410425,3
410482,34
410502,9
410503,10
410505,13
410506,2
410522,4
410523,2
410581,13
410611,13
410621,24
410622,8
410702,4
410703,1
410704,2
410725,26
410727,17
410781,4
410782,15
410783,16
410802,11
410803,3
410804,1
410811,21
410821,14
410822,3
410823,7
410882,5
410883,3
410902,12
410923,3
410926,1
410927,2
410928,5
411003,7
411024,8
411025,10
411081,4
411121,2
411122,2
411202,25
411203,33
411221,5
411224,38
411282,35
411302,13
411303,19
411321,6
411322,3
411323,14
411324,2
411325,4
411326,14
411329,2
411330,3
411381,7
411402,11
411403,5
411421,12
411422,3
411424,2
411425,5
411426,1
411481,1
411502,31
411503,13
411521,66
411522,4
411523,19
411524,5
411525,3
411526,3
411527,6
411528,1
411602,4
411603,4
411621,1
411622,2
411623,1
411628,1
411681,3
411702,15
411721,2
411723,1
411724,1
411725,6
411726,2
411727,10
411728,4
419001,12
420102,94
420104,33
420105,64
420106,110
420111,115
420112,81
420113,7
420114,77
420115,99
420116,90
420117,67
420203,1
420204,2
420205,1
420222,31
420281,25
420302,8
420303,13
420304,12
420322,3
420323,11
420324,8
420325,6
420381,21
420502,32
420504,22
420505,8
420506,60
420525,17
420526,21
420527,15
420528,16
420529,37
420581,16
420582,23
420583,34
420602,24
420606,17
420607,9
420624,14
420625,9
420626,10
420682,10
420683,4
420684,8
420702,29
420703,25
420704,16
420802,16
420804,14
420822,18
420881,17
420882,49
420902,41
420921,11
420922,14
420923,10
420981,16
420982,10
420984,10
421002,24
421003,45
421022,34
421024,1
421081,18
421083,18
421087,24
421088,16
421102,26
421121,19
421122,47
421123,26
421124,17
421125,20
421126,14
421127,20
421181,22
421182,9
421202,33
421221,10
421222,8
421223,7
421224,17
421281,22
421303,3
421321,12
421381,13
422801,24
422802,14
422822,10
422823,19
422825,8
422826,8
422827,11
422828,16
429004,23
429005,54
429006,27
429021,60
430102,75
430103,56
430104,87
430105,63
430111,63
430112,69
430121,59
430181,37
430182,40
430202,1
430203,12
430204,7
430211,15
430212,7
430223,10
430224,5
430225,9
430281,12
430302,36
430304,26
430321,26
430381,16
430382,16
430405,15
430407,13
430412,27
430421,13
430422,6
430423,5
430424,6
430426,7
430481,7
430482,1
430502,5
430503,6
430522,5
430523,2
430524,4
430525,18
430527,1
430528,2
430529,9
430581,5
430582,11
430602,44
430603,2
430611,52
430621,32
430623,15
430624,25
430626,14
430681,23
430682,9
430702,29
430703,10
430721,36
430722,20
430723,22
430724,24
430725,17
430726,58
430781,26
430811,28
430821,26
430822,21
430902,25
430903,30
430921,20
430922,9
430923,13
430981,29
431002,13
431003,13
431021,12
431022,21
431023,1
431024,1
431025,3
431026,7
431027,8
431028,5
431081,11
431102,4
431103,6
431122,10
431123,8
431124,8
431125,6
431126,4
431127,4
431128,3
431129,5
431181,2
431202,49
431221,19
431222,6
431223,3
431224,11
431225,3
431226,2
431227,8
431228,13
431229,7
431230,5
431281,28
431302,6
431321,6
431322,13
431381,6
431382,9
433101,19
