YEAR,BN_total,BT_total,county_months,counties,PI_mean,PI_pos_share,Shannon_mean,Rich_mean
2014,783,50952.9330673218,535,323,0.913457940226404,0.272897196261682,1.90895691491124,21.0525328330206
2015,4378.5,673357.212957155,2023,766,1.32466633813074,0.306475531389026,2.30927207772347,30.5294117647059
2016,4426,384725.499545734,1825,696,1.37638356189205,0.299178082191781,2.26115070853536,28.1531406336854
2017,4841,375736.729173865,1856,725,1.51519396515756,0.335129310344828,2.29254584404206,28.5341343528127
2018,9412.5,783005.047698999,2932,999,1.4557639860064,0.291950886766712,2.34977448174646,30.8642061281337
2019,7906,1023751.46243325,2664,924,1.60080705540586,0.328828828828829,2.41824211443106,30.4046626231994
2020,22597.5,1184336.94669744,4757,1376,2.04616354810595,0.363884801345386,2.39060289783935,31.5497331910352
2021,52981.5,1411407.15693445,7642,1764,2.49286836664957,0.408924365349385,2.44659005370146,35.1065989847717
2022,83613.1666669846,1422403.65682112,9060,1926,2.95098235318998,0.439183222958057,2.55935537950218,39.8398406821496
2023,134143,1211045.51570239,13234,2324,3.87821521626126,0.492292579718906,2.50374754573752,39.2437768899814
