hotspot,YEAR,BN_total,PI_mean,counties,BN_rel,PI_rel
hotspot,2014,606,0.828150129829591,177,1,1
hotspot,2015,3538.5,1.1258620697519,280,5.83910891089109,1.3594903015756
hotspot,2016,3725,1.09096622195472,282,6.14686468646865,1.31735319799951
hotspot,2017,3731,1.09828365010621,255,6.15676567656766,1.3261890695256
hotspot,2018,6305.5,1.09189189323021,266,10.4051155115512,1.31847095580953
hotspot,2019,5323,1.3317490479792,254,8.78382838283828,1.60810099523046
hotspot,2020,14029,1.55152692747143,275,23.1501650165017,1.87348509839718
hotspot,2021,35013.5,1.91049792751731,283,57.7780528052805,2.30694635996789
hotspot,2022,54023.5,2.14111111878403,286,89.1476897689769,2.58541421616949
hotspot,2023,81216.5,2.72469221428546,290,134.020627062706,3.29009453255308
non-hotspot,2014,177,1.10987654070795,146,1,1
non-hotspot,2015,840,1.70957910158118,486,4.74576271186441,1.54033267564219
non-hotspot,2016,701,2.0346014491026,414,3.96045197740113,1.83317817295678
non-hotspot,2017,1110,2.13137516510662,470,6.27118644067797,1.92037139891891
non-hotspot,2018,3107,1.80839489928784,733,17.5536723163842,1.62936581949405
non-hotspot,2019,2583,1.86308376390551,670,14.5932203389831,1.67864054745865
non-hotspot,2020,8568.5,2.3475304472138,1101,48.409604519774,2.1151275489762
non-hotspot,2021,17968,2.76112386326815,1481,101.514124293785,2.48777567774063
non-hotspot,2022,29589.6666669846,3.26304282883256,1640,167.173258005562,2.94000522504167
non-hotspot,2023,52926.5,4.20536373786909,2034,299.019774011299,3.78903741418539
