series,label,outcome,focal,coef,se,p,N,r2_within,cluster,note
A_effort_control,Authors' specification,ShannonBD,PI,-0.0125282806455923,0.00365508698915142,0.000619390270312376,46371,0.0398029842524974,county,exact replication
A_effort_control,+ ln(birdwatchers),ShannonBD,PI,0.00322778425175187,0.00319271643776766,0.312128625842775,46371,0.193224169858137,county,""
A_effort_control,+ ln(total duration),ShannonBD,PI,0.000998862524278973,0.00322923024035881,0.757106323111899,46371,0.158494186480123,county,""
A_effort_control,+ both effort terms,ShannonBD,PI,0.00293205796021613,0.00314736390384356,0.351643575338738,46371,0.201353519543776,county,""
A_effort_outcome,ln(birdwatchers) ~ PSI,logBN,PI,-0.0410430405460678,0.00609668547932208,2.09715368097612e-11,46371,0.0077723263305941,county,""
A_effort_outcome,ln(total duration) ~ PSI,logBT,PI,-0.0566559589241234,0.00771998112226055,2.95486550692332e-13,46371,0.00472047815591059,county,""
A_effort_outcome,authors' Duration ~ PSI,Duration,PI,-0.0176926239164747,0.00421334302167987,2.7788254349617e-05,46371,0.0021143616072471,county,""
B_policy_zero,Counties in policy source only,ShannonBD,PI,-0.00266082536958645,0.00382917504918957,0.487227597635449,26007,0.050788922549494,county,drops 43.8% of rows imputed as PI=0
B_policy_zero,Counties in policy source only (province cluster),ShannonBD,PI,-0.00266082536958645,0.00631646598963654,0.676676841210949,26007,0.050788922549494,省,""
C_metric,Simpson index,SimpsonBD,PI,-0.00135078100860834,0.000811357178723861,0.0960781067996106,46371,0.0187453524877641,county,""
C_metric,Species richness,Richness,PI,-0.975145972972457,0.182848282084031,1.05936394452024e-07,45606,0.0497864989954769,county,paper Table S19 col2
C_metric,Species richness + effort,Richness,PI,-0.0734071287043268,0.0822571442671698,0.372265804659656,45606,0.566864047034895,county,""
C_metric,Pielou evenness,Evenness,PI,0.00176799543700483,0.000687640501365995,0.0102003389389711,43958,0.00054811769384211,county,paper Table S19 col3 sign +
C_metric,Effective species number exp(H),ESN,PI,-0.154517478853537,0.0588599414338513,0.00871682202012912,46371,0.0402221193500797,county,""
A_effort_control,+ both effort terms (province cluster),ShannonBD,PI,0.00293205796021613,0.0044828957231154,0.518059500883352,46371,0.201353519543776,省,""
D_era,2014-2019 (pre-boom),ShannonBD,PI,-0.0222572735035598,0.012090713444787,0.0658951751225689,11408,0.046788320322876,county,""
D_era,2020-2023 (boom),ShannonBD,PI,-0.013217265009189,0.00390898431557899,0.000733659179530894,34512,0.0306519383561982,county,""
D_era,2020-2023 + effort,ShannonBD,PI,0.000156411394346316,0.00349890300031049,0.964347950019734,34512,0.202651807447472,county,""
